iter	Passed	Remaining
1239	60493	124889
1240	60543	124843
1241	60591	124793
1242	60635	124734
1243	60682	124683
1244	60732	124636
1245	60785	124595
1246	60827	124532
1247	60876	124484
1248	60923	124431
1249	60972	124383
1250	61015	124323
1251	61059	124264
1252	61113	124226
1253	61154	124162
1254	61207	124121
1255	61250	124060
1256	61298	124011
1257	61339	123946
1258	61395	123913
1259	61440	123855
1260	61481	123792
1261	61534	123751
1262	61581	123699
1263	61624	123639
1264	61670	123585
1265	61709	123516
1266	61754	123460
1267	61806	123417
1268	61860	123379
1269	61903	123318
1270	61946	123259
1271	61989	123199
1272	62032	123138
1273	62081	123090
1274	62123	123028
1275	62174	122984
1276	62223	122936
1277	62270	122883
1278	62314	122825
1279	62361	122774
1280	62411	122727
1281	62461	122681
1282	62511	122635
1283	62551	122569
1284	62596	122513
1285	62645	122464
1286	62686	122402
1287	62744	122370
1288	62790	122317
1289	62843	122277
1290	62891	122227
1291	62934	122166
1292	62988	122129
1293	63028	122062
1294	63079	122019
1295	63133	121979
1296	63188	121943
1297	63240	121901
1298	63286	121846
1299	63322	121774
1300	63373	121730
1301	63417	121672
1302	63457	121606
1303	63497	121541
1304	63540	121482
1305	63590	121436
1306	63649	121405
1307	63708	121377
1308	63752	121320
1309	63802	121274
1310	63851	121225
1311	63918	121211
1312	63982	121191
1313	64025	121132
1314	64080	121094
1315	64132	121052
1316	64179	121000
1317	64223	120942
1318	64263	120878
1319	64315	120835
1320	64363	120785
1321	64411	120735
1322	64464	120694
1323	64520	120659
1324	64565	120603
1325	64591	120513
1326	64631	120448
1327	64679	120396
1328	64723	120339
1329	64764	120277
1330	64796	120197
1331	64849	120157
1332	64891	120095
1333	64941	120049
1334	64998	120015
1335	65048	119969
1336	65093	119913
1337	65139	119860
1338	65182	119801
1339	65240	119770
1340	65342	119818
1341	65391	119770
1342	65435	119713
1343	65483	119663
1344	65532	119614
1345	65588	119579
1346	65641	119538
1347	65690	119490
1348	65740	119444
1349	65787	119392
1350	65830	119333
1351	65880	119285
1352	65931	119241
1353	65981	119195
1354	66032	119151
1355	66081	119102
1356	66134	119061
1357	66186	119017
1358	66242	118983
1359	66295	118941
1360	66344	118894
1361	66389	118838
1362	66430	118776
1363	66482	118732
1364	66528	118678
1365	66577	118630
1366	66627	118584
1367	66684	118549
1368	66735	118505
1369	66782	118453
1370	66826	118396
1371	66872	118343
1372	66926	118303
1373	66964	118235
1374	67010	118181
1375	67049	118116
1376	67098	118067
1377	67144	118014
1378	67198	117974
1379	67242	117917
1380	67283	117856
1381	67331	117805
1382	67385	117766
1383	67443	117733
1384	67496	117692
1385	67546	117646
1386	67593	117594
1387	67649	117558
1388	67701	117515
1389	67742	117452
1390	67789	117401
1391	67839	117354
1392	67894	117317
1393	67944	117269
1394	67993	117221
1395	68035	117161
1396	68091	117124
1397	68137	117072
1398	68190	117030
1399	68246	116993
1400	68292	116940
1401	68350	116907
1402	68408	116874
1403	68461	116832
1404	68509	116782
1405	68557	116733
1406	68604	116681
1407	68658	116641
1408	68709	116596
1409	68756	116544
1410	68803	116493
1411	68857	116453
1412	68903	116400
1413	68959	116362
1414	69007	116313
1415	69057	116266
1416	69108	116221
1417	69160	116178
1418	69209	116129
1419	69309	116166
1420	69369	116135
1421	69421	116093
1422	69469	116042
1423	69523	116002
1424	69572	115953
1425	69621	115905
1426	69655	115831
1427	69690	115759
1428	69740	115714
1429	69786	115659
1430	69828	115600
